frame;y;z;x
423;0.266564;-2.68747;-2.14864
423;-0.0811601;-2.69043;-2.21539
423;0.266564;-2.68747;-2.14864
425;-0.0801455;-2.6568;-2.18769
426;0.322389;-1.61487;-1.81386
430;0.259816;-2.61943;-2.09424
430;0.26319;-2.65345;-2.12144
430;0.669812;-2.6854;-1.94259
430;0.528058;-2.65079;-2.09148
430;0.984091;-2.71068;-1.80159
430;0.333536;-0.957668;-2.03454
431;0.859931;-1.49189;-1.71963
432;0.669916;-1.01324;-1.88706
432;0.683052;-1.03311;-1.92406
433;0.811772;-2.83239;-2.88575
433;0.820408;-2.86252;-2.91645
433;0.185876;-2.75427;-3.15089
433;1.0452;-0.950285;-1.77441
433;1.20285;-1.44196;-1.77937
433;1.30906;-1.41596;-1.80016
433;1.05656;-2.79755;-2.85792
433;1.0678;-2.82731;-2.88832
433;1.07904;-2.85707;-2.91873
433;1.20285;-1.44196;-1.77937
433;1.47613;-1.40396;-1.70031
433;1.27273;-2.75053;-2.83327
433;1.28627;-2.77979;-2.86341
433;1.07904;-2.85707;-2.91873
434;0.940147;-1.13536;-1.71718
434;0.958581;-1.15762;-1.75085
434;1.08642;-1.0468;-1.70025
434;1.10772;-1.06732;-1.73358
434;1.093;-1.46345;-1.75897
434;1.20285;-1.44196;-1.77937
434;1.20621;-1.36805;-1.89248
434;2.04113;-1.59989;-2.8427
434;1.26468;-1.36796;-1.73913
434;1.45111;-1.38016;-1.67149
434;1.38846;-1.36251;-1.79094
434;1.22665;-1.39124;-1.92455
434;2.2811;-1.58089;-2.69755
435;0.842617;-2.74975;-3.07662
435;1.07778;-2.68442;-3.01683
435;1.08912;-2.71268;-3.04858
435;1.31971;-2.6908;-3.05533
435;1.15094;-0.998853;-1.69274
435;1.17351;-1.01844;-1.72593
435;1.2914;-1.0823;-1.67586
435;1.2505;-1.15478;-1.71509
435;1.12443;-1.2753;-1.76417
435;1.47519;-1.58631;-1.53942
435;2.21733;-1.68947;-2.73953
435;1.37927;-0.955887;-1.63108
436;1.01955;-2.1419;-1.85261
436;1.07904;-2.85707;-2.91873
436;1.10047;-2.74094;-3.08034
436;1.47762;-2.89145;-2.74218
436;1.40579;-0.974269;-1.66244
436;1.31577;-1.10272;-1.70748
436;1.40176;-1.06806;-1.73189
436;1.093;-1.46345;-1.75897
436;1.03556;-1.48735;-1.94659
436;1.05282;-1.51214;-1.97903
436;1.45665;-0.917559;-1.65644
436;1.37627;-1.04864;-1.7004
437;1.86576;-2.6431;-2.86036
437;2.04238;-2.59243;-2.87171
437;1.2505;-1.15478;-1.71509
437;1.30844;-1.76221;-1.76065
437;1.32921;-1.79018;-1.78859
437;1.45;-1.76461;-1.80499
437;1.4329;-1.06788;-1.58712
437;1.37627;-1.04864;-1.7004
437;1.40176;-1.06806;-1.73189
437;1.26378;-1.09678;-1.85869
437;1.63114;-1.60975;-1.60829
437;1.31296;-1.66656;-1.8461
437;1.42769;-1.73746;-1.77722
437;1.63066;-1.64928;-1.78405
437;1.40579;-0.974269;-1.66244
437;1.48414;-0.934871;-1.68769
437;1.45884;-1.01103;-1.72518
437;1.42725;-1.08747;-1.76338
438;1.45505;-1.47167;-1.59192
438;1.41195;-0.739441;-1.8801
438;1.44474;-0.925414;-1.83746
438;1.21423;-1.16995;-1.90028
438;1.36492;-1.33942;-1.76058
