frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
frame ; y ; z ; x 
76;0.0402654;0.0224475;-0.0748827
76;0.958912;0.268889;0.230295
76;1.60903;0.308584;-0.0086874
76;1.63202;0.337339;-0.208911
76;2.26554;0.085678;2.30113
76;2.28577;0.198274;2.33273
76;2.2994;0.316633;2.3636
76;2.30558;0.441114;2.39365
76;0.0346282;0.0278008;-0.0754958
76;0.93452;0.310226;0.257892
76;1.59213;0.367502;-0.0103322
76;1.6006;0.454581;-0.162569
76;2.25402;0.19552;2.30033
76;2.15009;0.357311;2.41684
76;2.15108;0.482452;2.44768
76;2.14277;0.614502;2.47751
76;0.0435344;0.0181011;-0.0745327
76;0.971539;0.231001;0.231551
76;1.62064;0.254382;-0.0556138
76;1.64775;0.277442;-0.207404
76;2.27141;-0.0217606;2.30131
76;2.29745;0.0868848;2.33354
76;2.31752;0.201028;2.36512
76;2.3309;0.32097;2.39598
frame ; y ; z ; x 
77;0.0402654;0.0224475;-0.0748827
77;0.958912;0.268889;0.230295
77;1.60903;0.308584;-0.0086874
77;1.63202;0.337339;-0.208911
77;2.24768;0.423744;0.188822
77;2.26554;0.085678;2.30113
77;2.28577;0.198274;2.33273
77;2.2994;0.316633;2.3636
77;2.30558;0.441114;2.39365
77;0.0346282;0.0278008;-0.0754958
77;1.59213;0.367502;-0.0103322
77;1.6006;0.454581;-0.162569
77;2.22463;0.505972;0.186587
77;2.25402;0.19552;2.30033
77;2.15009;0.357311;2.41684
77;2.15108;0.482452;2.44768
77;2.14277;0.614502;2.47751
77;0.0435344;0.0181011;-0.0745327
77;0.971539;0.231001;0.231551
77;1.62064;0.254382;-0.0556138
77;1.64775;0.277442;-0.207404
77;2.24768;0.423744;0.188822
77;2.27141;-0.0217606;2.30131
77;2.29745;0.0868848;2.33354
77;2.31752;0.201028;2.36512
77;2.3309;0.32097;2.39598
frame ; y ; z ; x 
78;0.0402654;0.0224475;-0.0748827
78;0.958912;0.268889;0.230295
78;1.60903;0.308584;-0.0086874
78;1.63202;0.337339;-0.208911
78;2.26554;0.085678;2.30113
78;2.28577;0.198274;2.33273
78;2.2994;0.316633;2.3636
78;2.30558;0.441114;2.39365
78;0.0346282;0.0278008;-0.0754958
78;1.59213;0.367502;-0.0103322
78;1.6006;0.454581;-0.162569
78;2.22463;0.505972;0.186587
78;2.25402;0.19552;2.30033
78;2.15009;0.357311;2.41684
78;2.15108;0.482452;2.44768
78;2.14277;0.614502;2.47751
78;0.0435344;0.0181011;-0.0745327
78;1.62064;0.254382;-0.0556138
78;1.64775;0.277442;-0.207404
78;2.27141;-0.0217606;2.30131
78;2.29745;0.0868848;2.33354
78;2.31752;0.201028;2.36512
78;2.3309;0.32097;2.39598
frame ; y ; z ; x 
79;0.0402654;0.0224475;-0.0748827
79;0.958912;0.268889;0.230295
79;1.60903;0.308584;-0.0086874
79;1.62248;0.392069;-0.160377
79;2.22463;0.505972;0.186587
79;2.26554;0.085678;2.30113
79;2.28577;0.198274;2.33273
79;2.2994;0.316633;2.3636
79;2.30558;0.441114;2.39365
79;0.0346282;0.0278008;-0.0754958
79;0.93452;0.310226;0.257892
79;1.59213;0.367502;-0.0103322
79;1.6006;0.454581;-0.162569
79;2.22463;0.505972;0.186587
79;2.25402;0.19552;2.30033
79;2.15009;0.357311;2.41684
79;2.15108;0.482452;2.44768
79;2.14277;0.614502;2.47751
79;0.0435344;0.0181011;-0.0745327
79;0.971539;0.231001;0.231551
79;1.62064;0.254382;-0.0556138
79;1.64775;0.277442;-0.207404
79;2.24768;0.423744;0.188822
79;2.27141;-0.0217606;2.30131
79;2.29745;0.0868848;2.33354
79;2.31752;0.201028;2.36512
79;2.3309;0.32097;2.39598
frame ; y ; z ; x 
80;0.0402654;0.0224475;-0.0748827
80;0.958912;0.268889;0.230295
80;1.60903;0.308584;-0.0086874
80;1.63202;0.337339;-0.208911
80;2.24768;0.423744;0.188822
80;2.26554;0.085678;2.30113
80;2.28577;0.198274;2.33273
80;2.2994;0.316633;2.3636
80;2.30558;0.441114;2.39365
80;0.0346282;0.0278008;-0.0754958
80;0.93452;0.310226;0.257892
80;1.59213;0.367502;-0.0103322
80;1.6006;0.454581;-0.162569
80;2.25402;0.19552;2.30033
80;2.15009;0.357311;2.41684
80;2.15108;0.482452;2.44768
80;2.14277;0.614502;2.47751
80;0.0435344;0.0181011;-0.0745327
80;0.971539;0.231001;0.231551
80;1.62064;0.254382;-0.0556138
80;1.64775;0.277442;-0.207404
80;2.24768;0.423744;0.188822
80;2.27141;-0.0217606;2.30131
80;2.29745;0.0868848;2.33354
80;2.31752;0.201028;2.36512
80;2.3309;0.32097;2.39598
frame ; y ; z ; x 
81;0.0402654;0.0224475;-0.0748827
81;0.958912;0.268889;0.230295
81;1.60903;0.308584;-0.0086874
81;1.63202;0.337339;-0.208911
81;2.22463;0.505972;0.186587
81;2.26554;0.085678;2.30113
81;2.28577;0.198274;2.33273
81;2.2994;0.316633;2.3636
81;2.30558;0.441114;2.39365
81;0.0346282;0.0278008;-0.0754958
81;0.93452;0.310226;0.257892
81;1.59213;0.367502;-0.0103322
81;1.6006;0.454581;-0.162569
81;2.22463;0.505972;0.186587
81;2.25402;0.19552;2.30033
81;2.15009;0.357311;2.41684
81;2.15108;0.482452;2.44768
81;2.14277;0.614502;2.47751
81;0.0435344;0.0181011;-0.0745327
81;1.62064;0.254382;-0.0556138
81;1.64775;0.277442;-0.207404
81;2.24768;0.423744;0.188822
81;2.27141;-0.0217606;2.30131
81;2.29745;0.0868848;2.33354
81;2.31752;0.201028;2.36512
81;2.3309;0.32097;2.39598
frame ; y ; z ; x 
82;0.0402654;0.0224475;-0.0748827
82;0.958912;0.268889;0.230295
82;1.60903;0.308584;-0.0086874
82;1.63202;0.337339;-0.208911
82;2.26554;0.085678;2.30113
82;2.28577;0.198274;2.33273
82;2.2994;0.316633;2.3636
82;2.30558;0.441114;2.39365
82;0.0346282;0.0278008;-0.0754958
82;0.93452;0.310226;0.257892
82;1.59213;0.367502;-0.0103322
82;1.6006;0.454581;-0.162569
82;2.25402;0.19552;2.30033
82;2.15009;0.357311;2.41684
82;2.15108;0.482452;2.44768
82;2.14277;0.614502;2.47751
82;0.0272308;0.0251754;-0.0790866
82;0.971539;0.231001;0.231551
82;1.62064;0.254382;-0.0556138
82;1.64775;0.277442;-0.207404
82;2.27141;-0.0217606;2.30131
82;2.29745;0.0868848;2.33354
82;2.31752;0.201028;2.36512
82;2.3309;0.32097;2.39598
frame ; y ; z ; x 
83;0.0402654;0.0224475;-0.0748827
83;0.958912;0.268889;0.230295
83;1.60903;0.308584;-0.0086874
83;1.63202;0.337339;-0.208911
83;2.24768;0.423744;0.188822
83;2.26554;0.085678;2.30113
83;2.28577;0.198274;2.33273
83;2.2994;0.316633;2.3636
83;2.30558;0.441114;2.39365
83;0.0346282;0.0278008;-0.0754958
83;0.93452;0.310226;0.257892
83;1.59213;0.367502;-0.0103322
83;1.6006;0.454581;-0.162569
83;2.22463;0.505972;0.186587
83;2.25402;0.19552;2.30033
83;2.15009;0.357311;2.41684
83;2.15108;0.482452;2.44768
83;2.14277;0.614502;2.47751
83;0.0435344;0.0181011;-0.0745327
83;0.971539;0.231001;0.231551
83;1.62064;0.254382;-0.0556138
83;1.64775;0.277442;-0.207404
83;2.24768;0.423744;0.188822
83;2.27141;-0.0217606;2.30131
83;2.29745;0.0868848;2.33354
83;2.31752;0.201028;2.36512
83;2.3309;0.32097;2.39598
frame ; y ; z ; x 
84;0.0402654;0.0224475;-0.0748827
84;0.958912;0.268889;0.230295
84;1.60903;0.308584;-0.0086874
84;1.63202;0.337339;-0.208911
84;2.24768;0.423744;0.188822
84;2.26554;0.085678;2.30113
84;2.28577;0.198274;2.33273
84;2.2994;0.316633;2.3636
84;2.30558;0.441114;2.39365
84;0.0346282;0.0278008;-0.0754958
84;0.93452;0.310226;0.257892
84;1.5465;0.352261;0.0831744
84;1.59213;0.367502;-0.0103322
84;1.6006;0.454581;-0.162569
84;2.22463;0.505972;0.186587
84;2.25402;0.19552;2.30033
84;2.15009;0.357311;2.41684
84;2.15108;0.482452;2.44768
84;2.14277;0.614502;2.47751
84;0.0435344;0.0181011;-0.0745327
84;0.971539;0.231001;0.231551
84;1.56373;0.29708;0.0382492
84;1.62064;0.254382;-0.0556138
84;1.64775;0.277442;-0.207404
84;2.24768;0.423744;0.188822
84;2.27141;-0.0217606;2.30131
84;2.29745;0.0868848;2.33354
84;2.31752;0.201028;2.36512
84;2.3309;0.32097;2.39598
frame ; y ; z ; x 
85;0.0402654;0.0224475;-0.0748827
85;0.958912;0.268889;0.230295
85;1.60903;0.308584;-0.0086874
85;1.62248;0.392069;-0.160377
85;1.63202;0.337339;-0.208911
85;2.22463;0.505972;0.186587
85;2.26554;0.085678;2.30113
